time,symbol,open,high,low,close,pat_score,pat_bias,pat_name,pat_engulfing,pat_doji,pat_hammer,pat_shooting_star,pat_harami,pat_morning_star,pat_evening_star,pat_marubozu
2026-07-22 15:15:00,EURUSD,1.14113,1.14117,1.1409,1.14102,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 15:30:00,EURUSD,1.14103,1.14138,1.14101,1.14113,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 15:45:00,EURUSD,1.14114,1.14114,1.14039,1.14078,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-22 16:00:00,EURUSD,1.14078,1.14126,1.14072,1.14101,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 16:15:00,EURUSD,1.14101,1.14169,1.14089,1.14152,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 16:30:00,EURUSD,1.14153,1.14217,1.14153,1.14178,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 16:45:00,EURUSD,1.14179,1.14186,1.14118,1.14135,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-22 17:00:00,EURUSD,1.14135,1.14177,1.14105,1.14165,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 17:15:00,EURUSD,1.14165,1.14186,1.14108,1.14114,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-22 17:30:00,EURUSD,1.14114,1.14134,1.14098,1.14112,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 17:45:00,EURUSD,1.14112,1.14132,1.14078,1.14093,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 18:00:00,EURUSD,1.14094,1.14115,1.14083,1.141,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-22 18:15:00,EURUSD,1.14099,1.14139,1.14083,1.14137,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 18:30:00,EURUSD,1.14137,1.14139,1.14075,1.14101,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 18:45:00,EURUSD,1.14101,1.1414,1.14096,1.14138,100.0,1,pat_engulfing=100,100,0,0,0,0,0,0,0
2026-07-22 19:00:00,EURUSD,1.14139,1.14142,1.14062,1.14073,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-22 19:15:00,EURUSD,1.14074,1.14119,1.14062,1.14109,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-22 19:30:00,EURUSD,1.1411,1.14123,1.14076,1.14088,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 19:45:00,EURUSD,1.14088,1.141,1.14076,1.14094,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-22 20:00:00,EURUSD,1.14093,1.14126,1.14088,1.14115,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 20:15:00,EURUSD,1.14115,1.14128,1.14107,1.14115,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 20:30:00,EURUSD,1.14114,1.14116,1.1408,1.14099,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 20:45:00,EURUSD,1.14099,1.14113,1.14089,1.141,100.0,1,"pat_doji=100,pat_harami=100",0,100,0,0,100,0,0,0
2026-07-22 21:00:00,EURUSD,1.141,1.14107,1.14081,1.14089,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-22 21:15:00,EURUSD,1.14089,1.14107,1.14084,1.14104,100.0,1,"pat_engulfing=100,pat_harami=100",100,0,0,0,100,0,0,0
2026-07-22 21:30:00,EURUSD,1.14104,1.14111,1.14089,1.14092,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 21:45:00,EURUSD,1.14093,1.14113,1.14092,1.14109,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 22:00:00,EURUSD,1.1411,1.14123,1.14097,1.14098,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 22:15:00,EURUSD,1.14098,1.14119,1.14097,1.14111,100.0,1,"pat_engulfing=100,pat_harami=100",100,0,0,0,100,0,0,0
2026-07-22 22:30:00,EURUSD,1.1411,1.14114,1.14103,1.14112,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 22:45:00,EURUSD,1.14114,1.14121,1.14092,1.14113,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 23:00:00,EURUSD,1.14114,1.14127,1.14105,1.14118,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 23:15:00,EURUSD,1.14117,1.14126,1.14115,1.14117,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 23:30:00,EURUSD,1.14117,1.14126,1.14107,1.14123,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 23:45:00,EURUSD,1.14123,1.14125,1.14113,1.14118,-100.0,-1,pat_harami=-100,0,0,0,0,-100,0,0,0
2026-07-23 00:00:00,EURUSD,1.14066,1.14073,1.14062,1.14072,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-23 00:15:00,EURUSD,1.14068,1.14077,1.14048,1.14062,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-23 00:30:00,EURUSD,1.14062,1.14071,1.14053,1.14064,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-23 00:45:00,EURUSD,1.14064,1.14074,1.14053,1.14071,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-23 01:00:00,EURUSD,1.14079,1.14093,1.14072,1.14076,0.0,0,none,0,0,0,0,0,0,0,0
